id,name,abstract,layer
CWE-732,Incorrect Permission Assignment for Critical Resource,Class,{"CWE-284":2}
CWE-1004,Sensitive Cookie Without 'HttpOnly' Flag,Variant,{"CWE-284":3}
CWE-266,Incorrect Privilege Assignment,Base,{"CWE-284":2}
CWE-1022,Use of Web Link to Untrusted Target with window.opener Access,Variant,{"CWE-284":3}
CWE-284,Improper Access Control,Pillar,{"CWE-284":0}
CWE-1191,On-Chip Debug and Test Interface With Improper Access Control,Base,{"CWE-284":1}
CWE-1220,Insufficient Granularity of Access Control,Base,{"CWE-284":1}
CWE-1222,Insufficient Granularity of Address Regions Protected by Register Locks,Variant,{"CWE-284":2}
CWE-1224,Improper Restriction of Write-Once Bit Fields,Base,{"CWE-284":1}
CWE-285,Improper Authorization,Class,{"CWE-284":1}
CWE-1230,Exposure of Sensitive Information Through Metadata,Base,{"CWE-284":2}
CWE-1231,Improper Prevention of Lock Bit Modification,Base,{"CWE-284":1}
CWE-1233,Security-Sensitive Hardware Controls with Missing Lock Bit Protection,Base,{"CWE-284":1}
CWE-1242,Inclusion of Undocumented Features or Chicken Bits,Base,{"CWE-284":1}
CWE-1263,Improper Physical Access Control,Class,{"CWE-284":1}
CWE-1243,Sensitive Non-Volatile Information Not Protected During Debug,Base,{"CWE-284":2}
CWE-863,Incorrect Authorization,Class,{"CWE-284":2}
CWE-1244,Internal Asset Exposed to Unsafe Debug Access Level or State,Base,{"CWE-284":3}
CWE-1252,CPU Hardware Not Configured to Support Exclusivity of Write and Execute Operations,Base,{"CWE-284":1}
CWE-1256,Improper Restriction of Software Interfaces to Hardware Features,Base,{"CWE-284":2}
CWE-1257,Improper Access Control Applied to Mirrored or Aliased Memory Regions,Base,{"CWE-284":1}
CWE-1259,Improper Restriction of Security Token Assignment,Base,{"CWE-284":1}
CWE-1260,Improper Handling of Overlap Between Protected Memory Ranges,Base,{"CWE-284":1}
CWE-1262,Improper Access Control for Register Interface,Base,{"CWE-284":1}
CWE-1267,Policy Uses Obsolete Encoding,Base,{"CWE-284":1}
CWE-1268,Policy Privileges are not Assigned Consistently Between Control and Data Agents,Base,{"CWE-284":1}
CWE-1270,Generation of Incorrect Security Tokens,Base,{"CWE-284":1}
CWE-1274,Improper Access Control for Volatile Memory Containing Boot Code,Base,{"CWE-284":1}
CWE-923,Improper Restriction of Communication Channel to Intended Endpoints,Class,{"CWE-284":1}
CWE-1275,Sensitive Cookie with Improper SameSite Attribute,Variant,{"CWE-284":2}
CWE-1276,Hardware Child Block Incorrectly Connected to Parent System,Base,{"CWE-284":1}
CWE-1283,Mutable Attestation or Measurement Reporting Data,Base,{"CWE-284":1}
CWE-1290,Incorrect Decoding of Security Identifiers ,Base,{"CWE-284":1}
CWE-1292,Incorrect Conversion of Security Identifiers,Base,{"CWE-284":1}
CWE-1294,Insecure Security Identifier Mechanism,Class,{"CWE-284":1}
CWE-1296,Incorrect Chaining or Granularity of Debug Components,Base,{"CWE-284":1}
CWE-1297,Unprotected Confidential Information on Device is Accessible by OSAT Vendors,Base,{"CWE-284":2}
CWE-420,Unprotected Alternate Channel,Base,{"CWE-284":2}
CWE-1299,Missing Protection Mechanism for Alternate Hardware Interface,Base,{"CWE-284":3}
CWE-260,Password in Configuration File,Base,{"CWE-284":4}
CWE-13,ASP.NET Misconfiguration: Password in Configuration File,Variant,{"CWE-284":5}
CWE-1302,Missing Source Identifier in Entity Transactions on a System-On-Chip (SOC),Base,{"CWE-284":2}
CWE-1304,Improperly Preserved Integrity of Hardware Configuration State During a Power Save/Restore Operation,Base,{"CWE-284":1}
